problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; manne; 3; 4; True; 29.000000000000004; 29.000000000000004; 0.0; 48; 31; 21; 42; 132; integer optimal solution; 0.006972074508666992; False;  
ID000_M003_J004; minla_fav; 3; 4; True; 29.0; 29.0; 0.0; 248; 67; 37; 73; 772; integer optimal solution; 0.005855083465576172; False;  
ID000_M003_J004; manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.000347137451171875; False;  
ID000_M003_J004; minla_fav; 3; 4; False; nan; 24.49264400299227; nan; 248; 67; 39; 65; 772; optimal; 0.0008070468902587891; False;  
ID000_M003_J005; manne; 3; 5; True; 33.0; 33.0; 0.0; 75; 46; 29; 107; 210; integer optimal solution; 0.009034872055053711; False;  
ID000_M003_J005; minla_fav; 3; 5; True; 33.0; 33.0; 0.0; 490; 136; 49; 361; 1595; integer optimal solution; 0.02191305160522461; False;  
ID000_M003_J005; manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.00037598609924316406; False;  
ID000_M003_J005; minla_fav; 3; 5; False; nan; 28.558613184079604; nan; 490; 136; 87; 234; 1595; optimal; 0.0024831295013427734; False;  
ID000_M015_J015; manne; 15; 15; True; 1209.9999898108024; 1209.999999998; 8.419171596078956e-09; 3375; 1801; 1009; 11263213; 9900; integer optimal, tolerance; 237.21674418449402; False;  
ID000_M015_J015; minla_fav; 15; 15; True; 1032.9270892902193; 9356.999999956975; 0.8896091600625139; 71535; 22276; 228; 7233195; 254670; time limit exceeded; 3600.071361064911; True;  
ID000_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.018620014190673828; False;  
ID000_M015_J015; minla_fav; 15; 15; False; nan; 982.4701986754967; nan; 71535; 22276; 8204; 21184; 254670; optimal; 2.899707078933716; False;  
ID001_M015_J015; manne; 15; 15; True; 1176.9666666666662; 1177.0; 2.8320589068610815e-05; 3375; 1801; 995; 69027037; 9900; integer optimal, tolerance; 976.7094819545746; False;  
ID001_M015_J015; minla_fav; 15; 15; True; 1027.2526436973865; 1610.9999999949946; 0.3623509350089296; 71535; 22276; 6261; 3055307; 254670; time limit exceeded; 3600.0765409469604; True;  
ID001_M015_J015; manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.018144845962524414; False;  
ID001_M015_J015; minla_fav; 15; 15; False; nan; 945.6247810339936; nan; 71535; 22276; 8003; 27519; 254670; optimal; 5.436532020568848; False;  
ID002_M015_J015; manne; 15; 15; True; 1196.9024183283839; 1196.999999992; 8.152185765819115e-05; 3375; 1801; 1008; 179317681; 9900; integer optimal, tolerance; 2540.0275840759277; False;  
ID002_M015_J015; minla_fav; 15; 15; True; 1000.9999996551676; 7841.999999999999; 0.872353991372704; 71535; 22276; 21953; 5409278; 254670; time limit exceeded; 3600.086359977722; True;  
ID002_M015_J015; manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.02112102508544922; False;  
ID002_M015_J015; minla_fav; 15; 15; False; nan; 947.8456375838929; nan; 71535; 22276; 6917; 19869; 254670; optimal; 3.9567739963531494; False;  
ID003_M015_J015; manne; 15; 15; True; 1091.0; 1176.0; 0.0722789115646197; 3375; 1801; 1007; 197601513; 9900; time limit exceeded; 3600.0074660778046; True;  
ID003_M015_J015; minla_fav; 15; 15; True; 950.0406261512161; 1267.0; 0.250165251656479; 71535; 22276; 7546; 5516898; 254670; time limit exceeded; 3600.3779590129852; True;  
ID003_M015_J015; manne; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 9900; optimal; 0.02053093910217285; False;  
ID003_M015_J015; minla_fav; 15; 15; False; nan; 911.0; nan; 71535; 22276; 7361; 25175; 254670; optimal; 5.965720176696777; False;  
ID004_M015_J015; manne; 15; 15; True; 1137.9999999999993; 1234.0; 0.07779578606158258; 3375; 1801; 1080; 190146115; 9900; time limit exceeded; 3600.0075278282166; True;  
ID004_M015_J015; minla_fav; 15; 15; True; 1008.010970382854; 7120.999999994998; 0.8584453067850516; 71535; 22276; 21529; 6449389; 254670; time limit exceeded; 3600.0913379192352; True;  
ID004_M015_J015; manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.020013093948364258; False;  
ID004_M015_J015; minla_fav; 15; 15; False; nan; 975.9703718041582; nan; 71535; 22276; 8599; 18851; 254670; optimal; 1.6908988952636719; False;  
ID005_M015_J015; manne; 15; 15; True; 1161.887752200548; 1162.0; 9.659879470911975e-05; 3375; 1801; 1014; 89597757; 9900; integer optimal, tolerance; 1576.9367718696594; False;  
ID005_M015_J015; minla_fav; 15; 15; True; 988.5872855234093; 1365.9999999999998; 0.2762904205538528; 71535; 22276; 5772; 4869245; 254670; time limit exceeded; 3600.088667154312; True;  
ID005_M015_J015; manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02030014991760254; False;  
ID005_M015_J015; minla_fav; 15; 15; False; nan; 915.2396571666762; nan; 71535; 22276; 8278; 28406; 254670; optimal; 3.2515668869018555; False;  
ID006_M015_J015; manne; 15; 15; True; 1242.9310344827588; 1242.9999999999995; 5.548311926042425e-05; 3375; 1801; 1010; 15336692; 9900; integer optimal, tolerance; 294.1971700191498; False;  
ID006_M015_J015; minla_fav; 15; 15; True; 1025.5942188259714; 1605.0000000000007; 0.36100048671276813; 71535; 22276; 5502; 5950059; 254670; time limit exceeded; 3600.062047958374; True;  
ID006_M015_J015; manne; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 9900; optimal; 0.020905017852783203; False;  
ID006_M015_J015; minla_fav; 15; 15; False; nan; 979.5551680478335; nan; 71535; 22276; 8186; 27418; 254670; optimal; 3.7078139781951904; False;  
ID007_M015_J015; manne; 15; 15; True; 1181.0; 1181.0; 0.0; 3375; 1801; 1039; 1524290; 9900; integer optimal solution; 51.54592299461365; False;  
ID007_M015_J015; minla_fav; 15; 15; True; 1029.9971856734726; 4540.999999999998; 0.7731783339190595; 71535; 22276; 362; 7058288; 254670; time limit exceeded; 3600.0883400440216; True;  
ID007_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.01687788963317871; False;  
ID007_M015_J015; minla_fav; 15; 15; False; nan; 963.9263599328398; nan; 71535; 22276; 8201; 21771; 254670; optimal; 3.243849039077759; False;  
ID008_M015_J015; manne; 15; 15; True; 1207.9999999999982; 1292.9999998164044; 0.06573859228806571; 3375; 1801; 986; 228389438; 9900; time limit exceeded; 3600.0072660446167; True;  
ID008_M015_J015; minla_fav; 15; 15; True; 1049.7470662850694; 8955.999999978987; 0.8827884026029901; 71535; 22276; 22249; 4825026; 254670; time limit exceeded; 3600.0800728797913; True;  
ID008_M015_J015; manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.020684003829956055; False;  
ID008_M015_J015; minla_fav; 15; 15; False; nan; 1012.3868210761908; nan; 71535; 22276; 7744; 16677; 254670; optimal; 1.8734898567199707; False;  
ID009_M015_J015; manne; 15; 15; True; 1090.5794392523367; 1217.0; 0.10387885024457924; 3375; 1801; 1025; 150773393; 9900; time limit exceeded; 3600.007138967514; True;  
ID009_M015_J015; minla_fav; 15; 15; True; 1013.5811832080523; 1656.0; 0.38793406811105613; 71535; 22276; 4278; 7429983; 254670; time limit exceeded; 3600.0748698711395; True;  
ID009_M015_J015; manne; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.021955013275146484; False;  
ID009_M015_J015; minla_fav; 15; 15; False; nan; 988.9446741402668; nan; 71535; 22276; 7643; 18273; 254670; optimal; 2.057070016860962; False;  
ID000_M015_J020; manne; 15; 20; True; 1137.9999999999995; 1402.0; 0.1883024251069769; 6000; 3151; 1736; 117682446; 17700; time limit exceeded; 3601.1832320690155; True;  
